id,user_handle,text,time,device,label,processed_text,labels_pred
845974102619906048,realDonaldTrump,"Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood &amp; Ocare!",2017-03-26 15:21:58,iphone,1,"democrats smiling . c . freedom caucus , help club growth heritage , saved planned parenthood amp ; ocare",0
846166053663191040,realDonaldTrump,General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.,2017-03-27 04:04:42,iphone,1,general kelly great job border . numbers way . many even trying come anymore .,0
835814988686233601,realDonaldTrump,"The race for DNC Chairman was, of course, totally ""rigged."" Bernie's guy, like Bernie himself, never had a chance. Clinton demanded Perez!",2017-02-26 13:33:16,android,0,"race dnc chairman , course , totally "" rigged . "" bernie ' guy , like bernie , never chance . clinton demanded perez",0
835817351178301440,realDonaldTrump,For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!,2017-02-26 13:42:39,android,0,first time failing nytimes take ad ( bad one ) help save failing reputation . try reporting accurately amp ; fairly,0
835916511944523777,realDonaldTrump,"Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!",2017-02-26 20:16:41,android,0,"russia talk fake news put dems , played media , order mask big election defeat illegal leaks",0
835946001873657858,realDonaldTrump,"Big dinner with Governors tonight at White House. Much to be discussed, including healthcare.",2017-02-26 22:13:52,android,0,"big dinner governors tonight white house . much discussed , including healthcare .",0
820251730407473153,realDonaldTrump,"Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......",2017-01-14 14:50:26,android,0,"congressman john lewis spend time fixing helping district , horrible shape falling apart ( ... ...",0
820255947956383744,realDonaldTrump,"mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",2017-01-14 15:07:12,android,0,"mention crime infested ) rather falsely complaining election results . talk , talk , talk - action results . sad",0
820257714362314753,realDonaldTrump,"INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN",2017-01-14 15:14:13,android,0,"intelligence insiders claim trump dossier "" complete fraud "" oann",0
820425770925338624,realDonaldTrump,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,2017-01-15 02:22:01,android,0,congressman john lewis finally focus burning crime infested inner-cities u . . use help get,0
820450166331346944,realDonaldTrump,"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",2017-01-15 03:58:57,android,0,"inauguration day turning even bigger expected . january 20th , washington . c . fun",0
765623972234948608,realDonaldTrump,Another health insurer is pulling back due to 'persistent financial losses on #Obamacare plans.' Only the beginning! https://t.co/YqfaEvg8c3,2016-08-16 21:59:14,iphone,1,another health insurer pulling back due ' persistent financial losses obamacare plans . ' beginning https : . co yqfaevg8c3,1
765629939811020802,realDonaldTrump,"'It's just a 2-point race, Clinton 38%, Trump 36%' https://t.co/EzDzJ4EzIN",2016-08-16 22:22:57,iphone,1,"' ' 2-point race , clinton 38 , trump 36 ' https : . co ezdzj4ezin",1
765679267086684161,realDonaldTrump,This is my pledge to the American people: https://t.co/Jb21oyNfxt,2016-08-17 01:38:57,iphone,1,pledge american people : https : . co jb21oynfxt,1
765688915932045313,realDonaldTrump,"Just as we won the Cold War, in part, by exposing the evils of communism and the virtues of free markets.... Cont: https://t.co/SXp7efXEZU",2016-08-17 02:17:18,iphone,1,"cold war , part , exposing evils communism virtues free markets ... . cont : https : . co sxp7efxezu",1
765726909925851136,realDonaldTrump,Will be on @SeanHannity tonight at 10pmE - delivering an important speech live from Wisconsin. #MakeAmericaGreatAgain,2016-08-17 04:48:16,iphone,1,seanhannity tonight 10pme - delivering important speech live wisconsin . makeamericagreatagain,1
788342075582328832,realDonaldTrump,"""@THEREALMOGUL: 41% of American voters believe the  election could be ""stolen"" from DonaldTrump due to widespread voter fraud. - Politico""",2016-10-18 14:32:52,android,0,""" therealmogul : 41 american voters believe election could "" stolen "" donaldtrump due widespread voter fraud . - politico """,0
788402585816276992,realDonaldTrump,"I will Make Our Government Honest Again -- believe me. But first, I'm going to have to #DrainTheSwamp in DC. https://t.co/m1lMAQPnIb",2016-10-18 18:33:18,iphone,1,"make government honest - - believe . first , ' going draintheswamp dc . https : . co m1lmaqpnib",1
788402786970939392,realDonaldTrump,Pay-to-play. Collusion. Cover-ups. And now bribery? So CROOKED. I will #DrainTheSwamp. https://t.co/FNzMit7mD8,2016-10-18 18:34:06,iphone,1,pay-to-play . collusion . cover-ups . bribery ? crooked . draintheswamp . https : . co fnzmit7md8,1
674577809877147648,realDonaldTrump,The last person corrupt Hillary Clinton wants to run against is Donald J. Trump. I'll end up beating her in every state. New Fox Poll-Trump!,2015-12-09 15:14:17,android,0,last person corrupt hillary clinton wants run donald j . trump . ' end beating every state . new fox poll-trump,0
674578580681134080,realDonaldTrump,Hillary Clinton does not have the STRENGTH or STAMINA to be President. We need strong and super smart for our next leader - or trouble!,2015-12-09 15:17:21,android,0,hillary clinton strength stamina president . need strong super smart next leader - trouble,0
674578805906931712,realDonaldTrump,"""@ray_aub:  @nytimes @CNN People forget the policies of leaders like @JebBush allowed 9/11 killers to immigrate, drive, &amp; pilot planes""",2015-12-09 15:18:15,android,0,""" ray_aub : nytimes cnn people forget policies leaders like jebbush allowed 9 11 killers immigrate , drive , amp ; pilot planes """,0
674579252956815360,realDonaldTrump,"""@mysteriousLoser: @realDonaldTrump did you hear the mayor nutter of philadelphias comments towards you? Ignorance"" Yes, he is a crude dope!",2015-12-09 15:20:01,android,0,""" mysteriousloser : realdonaldtrump hear mayor nutter philadelphias comments towards ? ignorance "" yes , crude dope",0
674587800835092480,realDonaldTrump,I told you @TIME Magazine would never pick me as person of the year despite being the big favorite They picked person who is ruining Germany,2015-12-09 15:53:59,android,0,told time magazine would never pick person year despite big favorite picked person ruining germany,0
674610092344496128,realDonaldTrump,"""Rupert Murdoch Defends Trump: 'Complete Refugee Pause' Makes Sense' "" https://t.co/HWOLO4RVAC",2015-12-09 17:22:34,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,""" rupert murdoch defends trump : ' complete refugee pause ' makes sense ' "" https : . co hwolo4rvac",1
719476340576100353,realDonaldTrump,I will be interviewed on @foxandfriends at 7:00 A.M. Enjoy!,2016-04-11 13:45:01,android,0,interviewed foxandfriends 7 : 00 . . enjoy,0
719484455556161538,realDonaldTrump,"""@TimeHasCome1: @WayneDupreeShow @ThePatriot143 Trump needs to hold a massive protest rally in Colorado. He'd get 100k &amp; own the news cycle""",2016-04-11 14:17:16,android,0,""" timehascome1 : waynedupreeshow thepatriot143 trump needs hold massive protest rally colorado . ' get 100k amp ; news cycle """,0
719484822834581504,realDonaldTrump,"""@WVTTS1017: @realDonaldTrump just listened to you on fox. I love you so much.""  Thank you!",2016-04-11 14:18:43,android,0,""" wvtts1017 : realdonaldtrump listened fox . love much . "" thank",0
719500540657459201,realDonaldTrump,"""@AnnesLimo: @realDonaldTrump @WVTTS1017 Thanks for Rochester rally.""  Great people, thank you!",2016-04-11 15:21:11,android,0,""" anneslimo : realdonaldtrump wvtts1017 thanks rochester rally . "" great people , thank",0
730342411835195393,realDonaldTrump,"Big wins in West Virginia and Nebraska. Get ready for November - Crooked Hillary, who is looking very bad against Crazy Bernie, will lose!",2016-05-11 13:22:54,android,0,"big wins west virginia nebraska . get ready november - crooked hillary , looking bad crazy bernie , lose",0
730401662574182405,realDonaldTrump,Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!,2016-05-11 17:18:21,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,goofy elizabeth warren one least effective senators entire u . . senate . done nothing,0
745967990236143616,realDonaldTrump,"Thank you to Donald Rumsfeld for the endorsement. Very much appreciated. Clinton's conduct has been ""disqualifying.""",2016-06-23 16:13:22,android,0,"thank donald rumsfeld endorsement . much appreciated . clinton ' conduct "" disqualifying . """,0
745969049943875585,realDonaldTrump,"""Hillary Clinton may be the most corrupt person ever to seek the presidency.""  --   Donald J. Trump",2016-06-23 16:17:35,android,0,""" hillary clinton may corrupt person ever seek presidency . "" - - donald j . trump",0
745969778267926532,realDonaldTrump,"ISIS threatens us today because of the decisions Hillary Clinton has made along with President Obama.""  --  Donald J. Trump",2016-06-23 16:20:29,android,0,"isis threatens us today decisions hillary clinton made along president obama . "" - - donald j . trump",0
